Day,Faults,Cum_faults,Testers
1,4,4,1
2,0,4,1
3,7,11,1
4,10,21,1
5,13,34,1
6,8,42,1
7,13,55,1
8,4,59,1
9,7,66,1
10,8,74,1
11,1,75,1
12,6,81,1
13,13,94,1
14,7,101,1
15,9,110,1
16,8,118,2
17,5,123,2
18,10,133,2
19,7,140,2
20,11,151,2
21,5,156,2
22,8,164,2
23,13,177,2
24,9,186,2
25,7,193,2
26,7,200,2
27,5,205,2
28,7,212,2
29,6,218,1
30,6,224,1
31,4,228,1
32,12,240,2
33,6,246,2
34,7,253,2
35,8,261,2
36,11,272,2
37,6,278,2
38,9,287,2
39,7,294,2
40,12,306,2
41,12,318,2
42,15,333,2
43,14,347,2
44,7,354,2
45,9,363,2
46,11,374,2
47,5,379,2
48,7,386,2
49,7,393,2
50,14,407,2
51,13,420,2
52,14,434,2
53,11,445,2
54,2,447,1
55,4,451,1
56,4,455,2
57,3,458,2
58,6,464,2
59,6,470,2
60,2,473,2
61,0,473,1
62,0,473,1
63,3,476,1
64,0,476,1
65,4,480,1
66,0,480,1
67,1,481,1
68,2,483,1
69,0,483,2
70,1,484,2
71,2,486,2
72,5,491,2
73,3,494,2
74,2,496,2
75,1,497,2
76,11,508,2
77,1,509,2
78,0,509,1
79,2,511,2
80,2,513,2
81,4,517,2
82,1,518,2
83,0,518,2
84,4,522,2
85,1,523,1
86,1,524,1
87,0,524,1
88,2,526,3
89,0,536,1
90,0,526,2
91,1,527,1
92,1,528,1
93,0,528,1
94,0,528,2
95,0,528,1
96,0,528,1
97,1,529,2
98,0,529,1
99,1,530,1
100,0,530,1
101,0,530,1
102,0,530,2
103,0,530,1
104,2,532,1
105,0,532,1
106,1,533,2
107,0,533,2
108,2,535,2
109,0,535,2
